Closed,StockExchange,Ticker,Time
8.1,hnx,TTH,2021-12-19T00:00:00.000Z
27.3,upcom,TTN,2021-12-19T00:00:00.000Z
22.3,hnx,TVC,2021-12-19T00:00:00.000Z
13,hnx,TVD,2021-12-19T00:00:00.000Z
16.5,upcom,TVN,2021-12-19T00:00:00.000Z
17.5,upcom,VAB,2021-12-19T00:00:00.000Z
17.9,upcom,VBB,2021-12-19T00:00:00.000Z
63.9,hnx,VC2,2021-12-19T00:00:00.000Z
56.9,hnx,VC3,2021-12-19T00:00:00.000Z
25.1,hnx,VC7,2021-12-19T00:00:00.000Z
14.6,hnx,VC9,2021-12-19T00:00:00.000Z
96.5,hose,VCB,2021-12-19T00:00:00.000Z
244,hose,VCF,2021-12-19T00:00:00.000Z
48.8,hose,VCG,2021-12-19T00:00:00.000Z
75,hose,VCI,2021-12-19T00:00:00.000Z
45,upcom,VCR,2021-12-19T00:00:00.000Z
116,hnx,VCS,2021-12-19T00:00:00.000Z
7.2,upcom,VE9,2021-12-19T00:00:00.000Z
44.2,upcom,VEA,2021-12-19T00:00:00.000Z
16.8,upcom,VFS,2021-12-19T00:00:00.000Z
61.5,hose,VGC,2021-12-19T00:00:00.000Z
32.4,upcom,VGI,2021-12-19T00:00:00.000Z
47,hnx,VGS,2021-12-19T00:00:00.000Z
28.4,upcom,VGT,2021-12-19T00:00:00.000Z
15.6,upcom,VGV,2021-12-19T00:00:00.000Z
65.9,hose,VHC,2021-12-19T00:00:00.000Z
11.7,hnx,VHE,2021-12-19T00:00:00.000Z
8,upcom,VHG,2021-12-19T00:00:00.000Z
84.5,hose,VHM,2021-12-19T00:00:00.000Z
43.85,hose,VIB,2021-12-19T00:00:00.000Z
102,hose,VIC,2021-12-19T00:00:00.000Z
17.7,hnx,VIG,2021-12-19T00:00:00.000Z
32.4,hose,VIX,2021-12-19T00:00:00.000Z
122.5,hose,VJC,2021-12-19T00:00:00.000Z
13,hnx,VKC,2021-12-19T00:00:00.000Z
10.8,upcom,VLG,2021-12-19T00:00:00.000Z
35.1,upcom,VNA,2021-12-19T00:00:00.000Z
23.4,upcom,VNB,2021-12-19T00:00:00.000Z
80,hose,VND,2021-12-19T00:00:00.000Z
7.2,upcom,VNH,2021-12-19T00:00:00.000Z
85.7,hose,VNM,2021-12-19T00:00:00.000Z
27,upcom,VNP,2021-12-19T00:00:00.000Z
35.9,upcom,VOC,2021-12-19T00:00:00.000Z
33.8,hose,VPB,2021-12-19T00:00:00.000Z
53.3,hose,VPI,2021-12-19T00:00:00.000Z
30.8,hose,VRE,2021-12-19T00:00:00.000Z
16.2,upcom,VTD,2021-12-19T00:00:00.000Z
74.5,upcom,VTP,2021-12-19T00:00:00.000Z
9.4,hnx,VTV,2021-12-19T00:00:00.000Z
16.4,hnx,WSS,2021-12-19T00:00:00.000Z
17.9,upcom,XMC,2021-12-19T00:00:00.000Z
28.1,upcom,AAS,2021-12-20T00:00:00.000Z
24,hnx,AAV,2021-12-20T00:00:00.000Z
21,upcom,ABB,2021-12-20T00:00:00.000Z
33.1,hose,ACB,2021-12-20T00:00:00.000Z
15.1,upcom,AFX,2021-12-20T00:00:00.000Z
16.2,upcom,AMS,2021-12-20T00:00:00.000Z
14.8,hnx,AMV,2021-12-20T00:00:00.000Z
18,upcom,ANT,2021-12-20T00:00:00.000Z
58.7,upcom,APF,2021-12-20T00:00:00.000Z
33.8,hose,APH,2021-12-20T00:00:00.000Z
78,hnx,API,2021-12-20T00:00:00.000Z
38.3,hnx,APS,2021-12-20T00:00:00.000Z
